2025-12-23 17:46:57,229 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '260d92ad-b46a-57ed-8df5-f36963d74960', 'Date': 'Tue, 23 Dec 2025 17:46:57 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:47:17,254 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'e1faeabc-cd6f-55e2-82a4-8b781abede0c', 'Date': 'Tue, 23 Dec 2025 17:47:17 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:47:37,282 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd26cfc55-6946-5908-a95d-9d91bea3e5e4', 'Date': 'Tue, 23 Dec 2025 17:47:37 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:47:57,309 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '2579570a-d951-51b5-82a0-36ce0ea8bec5', 'Date': 'Tue, 23 Dec 2025 17:47:57 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:48:17,337 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '05bf4a39-d874-5d43-881d-2bfd00795fce', 'Date': 'Tue, 23 Dec 2025 17:48:17 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:48:37,365 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'bf7adc26-9076-5d8a-aff7-bde24857531b', 'Date': 'Tue, 23 Dec 2025 17:48:37 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:48:57,394 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '27eb9bce-74d2-5af4-9def-fa0aace7dade', 'Date': 'Tue, 23 Dec 2025 17:48:57 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:49:17,422 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9d016829-06cc-515e-9650-09edde85332a', 'Date': 'Tue, 23 Dec 2025 17:49:17 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:49:37,451 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f660c673-d986-583d-aac4-a7b701db1b51', 'Date': 'Tue, 23 Dec 2025 17:49:37 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:49:57,481 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd7f88ac5-de76-5f7d-baf4-eb010607c552', 'Date': 'Tue, 23 Dec 2025 17:49:57 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:50:17,510 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5d7823de-eb2f-5015-8824-421a33aa51da', 'Date': 'Tue, 23 Dec 2025 17:50:17 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:50:37,539 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'cecdd71c-6bf0-5800-a034-b6d8b369b82c', 'Date': 'Tue, 23 Dec 2025 17:50:37 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:50:53,833 [DEBUG] Response: 200 https://cloudformation.ap-south-1.amazonaws.com/?Action=GetListenerCredentials&StackName=arn%3Aaws%3Acloudformation%3Aap-south-1%3A106055905364%3Astack%2Fawseb-e-37m2a4tpya-stack%2F9b70b850-de24-11f0-a6cb-02bd1a402a2b&ContentType=JSON [headers: {'x-amzn-RequestId': '7c3e1dc0-c7ac-4a0c-b1a3-5f61fd98d17d', 'Date': 'Tue, 23 Dec 2025 17:50:53 GMT', 'Content-Type': 'application/json', 'Content-Length': '1320', 'connection': 'keep-alive'}]
2025-12-23 17:50:57,567 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '8de38596-997b-52ac-b156-e45241d66bd9', 'Date': 'Tue, 23 Dec 2025 17:50:57 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:51:17,594 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '33f5d13e-5d0a-5b82-8919-b0fa85cb5079', 'Date': 'Tue, 23 Dec 2025 17:51:17 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:51:37,620 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ef86940f-fdb0-58ff-aa20-f5cb2565d7c9', 'Date': 'Tue, 23 Dec 2025 17:51:37 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:51:57,649 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '66be3fc0-c5c4-5036-bb2f-5e041d2dc99b', 'Date': 'Tue, 23 Dec 2025 17:51:57 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-23 17:52:17,677 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/3b2fd02d8c626126293518a091c66bae4c5d382a4d1851fb236d0e0bc9fc1d98/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5ddbce08-5678-595d-a40a-afcc8e85ac6e', 'Date': 'Tue, 23 Dec 2025 17:52:17 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
