2025-12-31 06:37:44,073 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '93dfca12-871a-5592-8f5e-abdc41fe26bd', 'Date': 'Wed, 31 Dec 2025 06:37:44 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:38:04,102 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f8936d88-fce6-5426-8c6e-0c463a1ecf6d', 'Date': 'Wed, 31 Dec 2025 06:38:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:38:24,130 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '28d9fe42-f631-58ee-8654-9f8c313d287f', 'Date': 'Wed, 31 Dec 2025 06:38:24 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:38:44,159 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ffffb68e-b340-5efe-b782-d74074608d6e', 'Date': 'Wed, 31 Dec 2025 06:38:44 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:39:04,189 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '095dba17-2e74-5676-9b7a-dbd9e940d183', 'Date': 'Wed, 31 Dec 2025 06:39:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:39:24,217 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'eb36aa22-3954-5a16-8fe3-cbecfe1cdafc', 'Date': 'Wed, 31 Dec 2025 06:39:24 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:39:44,247 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '53e7533f-3fab-5854-b47c-32f1f8f74dcc', 'Date': 'Wed, 31 Dec 2025 06:39:44 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:40:04,275 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c1ecabb2-7286-5447-92d1-ca7cb5f60f8b', 'Date': 'Wed, 31 Dec 2025 06:40:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:40:24,303 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6d97e4b7-0a19-5698-9cb7-8579cd9ddd76', 'Date': 'Wed, 31 Dec 2025 06:40:24 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:40:44,331 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '1858c278-3327-54eb-b8e2-a3b6f4bfd779', 'Date': 'Wed, 31 Dec 2025 06:40:44 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2025-12-31 06:41:04,357 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f4bb6887-e3c6-5991-89d6-0949246a8882', 'Date': 'Wed, 31 Dec 2025 06:41:04 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
