2026-01-08 03:07:51,045 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c7727fbc-2fd5-5a86-9c51-1e650e66f40b', 'Date': 'Thu, 08 Jan 2026 03:07:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:08:11,074 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'cffcf0fa-f120-5d3a-aaf2-9123d0e758a2', 'Date': 'Thu, 08 Jan 2026 03:08:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:08:31,106 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '3b035432-1ee2-5f1b-ac92-35eb3f3977ae', 'Date': 'Thu, 08 Jan 2026 03:08:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:08:51,134 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a8428c97-0761-57a9-a993-ed4e268e0719', 'Date': 'Thu, 08 Jan 2026 03:08:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:09:11,161 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'da18104a-6895-543d-8530-71934a961389', 'Date': 'Thu, 08 Jan 2026 03:09:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:09:31,192 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '771bb556-3762-5b68-91b6-d48f15756c9d', 'Date': 'Thu, 08 Jan 2026 03:09:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:09:51,221 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '78b563a6-ab15-5401-b29e-027f893e7892', 'Date': 'Thu, 08 Jan 2026 03:09:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:10:11,248 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '53803304-347a-50d8-b284-52dd16459608', 'Date': 'Thu, 08 Jan 2026 03:10:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:10:31,278 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '3d7006b5-1b0a-5755-b4c2-676c3959ce38', 'Date': 'Thu, 08 Jan 2026 03:10:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:10:51,307 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6d37054f-2492-55ce-9127-649606f54de2', 'Date': 'Thu, 08 Jan 2026 03:10:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:11:11,337 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '079c0ca6-b984-5c1f-a33d-6d7f9bfff294', 'Date': 'Thu, 08 Jan 2026 03:11:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:11:31,367 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '4fd8ccfe-b13e-565f-88d5-ad2793b1fa55', 'Date': 'Thu, 08 Jan 2026 03:11:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:11:51,395 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '567168c9-3994-5cf8-802e-09101b37cfc8', 'Date': 'Thu, 08 Jan 2026 03:11:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:12:11,425 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '9208aadb-5f38-5fd9-9a6e-cb027d8f296b', 'Date': 'Thu, 08 Jan 2026 03:12:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:12:31,454 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'a1460375-fe5a-5dab-ab93-62acdc916f66', 'Date': 'Thu, 08 Jan 2026 03:12:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:12:51,482 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '3e067785-f599-503f-8131-165cd74619f0', 'Date': 'Thu, 08 Jan 2026 03:12:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:13:11,511 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd4a4e893-0f3f-510c-bc24-894a2dcca77a', 'Date': 'Thu, 08 Jan 2026 03:13:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:13:31,539 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd9fb24b8-8f94-50bd-b19e-4561ac93568c', 'Date': 'Thu, 08 Jan 2026 03:13:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:13:51,566 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'd0bb2272-8d75-5289-a9f1-43abae6e3dd9', 'Date': 'Thu, 08 Jan 2026 03:13:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:14:11,594 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '8d222b5f-da83-5e7d-a90a-4a86f9aca9d1', 'Date': 'Thu, 08 Jan 2026 03:14:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:14:31,622 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f7c86f21-c6e1-5ecd-93d0-0ef8e5a21ad8', 'Date': 'Thu, 08 Jan 2026 03:14:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:14:51,649 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '84a3951e-d647-5a12-8af0-f4c7f51052f8', 'Date': 'Thu, 08 Jan 2026 03:14:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:15:11,681 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ff136cc3-3383-573e-af39-0d1a10e8c115', 'Date': 'Thu, 08 Jan 2026 03:15:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:15:31,710 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'b9a910d9-de0d-5206-9783-7100fd72dab3', 'Date': 'Thu, 08 Jan 2026 03:15:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:15:51,739 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'c05f01b7-9c8d-596c-a12b-606ebf1e191f', 'Date': 'Thu, 08 Jan 2026 03:15:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:16:11,767 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '31110c45-bffe-5558-817a-6d9c9c590b8c', 'Date': 'Thu, 08 Jan 2026 03:16:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:16:31,797 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ebf411fa-c398-5a5c-ad2c-7023e0236eef', 'Date': 'Thu, 08 Jan 2026 03:16:31 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:16:51,829 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '167696d2-7420-5a78-9164-f70b57ef420b', 'Date': 'Thu, 08 Jan 2026 03:16:51 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-08 03:17:11,858 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '53296dbf-97af-507f-9e19-0c66b44c8473', 'Date': 'Thu, 08 Jan 2026 03:17:11 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
