2026-01-10 17:30:46,879 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '889c6b13-8f40-5d42-955c-0acf01b2a1f5', 'Date': 'Sat, 10 Jan 2026 17:30:46 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:31:06,908 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '77158f39-075e-533f-9d0e-eee58858172f', 'Date': 'Sat, 10 Jan 2026 17:31:06 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:31:26,936 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'caae8e18-c368-5889-8977-efc44c72bde1', 'Date': 'Sat, 10 Jan 2026 17:31:26 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:31:46,965 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '657d61dd-7505-55d8-a6cc-0001fa2b1328', 'Date': 'Sat, 10 Jan 2026 17:31:46 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:32:06,992 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'db153a46-fd31-5f30-a438-5b9a72733064', 'Date': 'Sat, 10 Jan 2026 17:32:06 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:32:27,021 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '5fb3ceb9-9263-5537-927a-af651d346904', 'Date': 'Sat, 10 Jan 2026 17:32:27 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:32:47,049 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ab04794f-6895-59da-afda-1893e7fe148b', 'Date': 'Sat, 10 Jan 2026 17:32:47 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:33:07,076 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'f557d2ed-2437-5d65-9004-b331ab48a637', 'Date': 'Sat, 10 Jan 2026 17:33:07 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:33:27,104 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '77ca4bf1-c96b-511b-8a30-2a2d46f82229', 'Date': 'Sat, 10 Jan 2026 17:33:27 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:33:47,133 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': '6a8e9186-ec35-5cdc-b4cb-f05a6392b312', 'Date': 'Sat, 10 Jan 2026 17:33:47 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
2026-01-10 17:34:07,161 [DEBUG] Response: 200 https://sqs.ap-south-1.amazonaws.com/033451322671/301be185356da43a32855af52867b9e7abcabdbec7fe2d33752f66d52100ad35/?Action=ReceiveMessage&Version=2012-11-05&MaxNumberOfMessages=1&AttributeName.1=All&WaitTimeSeconds=20 [headers: {'x-amzn-RequestId': 'ff056678-0c56-54c1-8647-07a483edc651', 'Date': 'Sat, 10 Jan 2026 17:34:07 GMT', 'Content-Type': 'text/xml', 'Content-Length': '240', 'connection': 'keep-alive'}]
